HomePlanet;CryoSleep;Destination;Age;VIP;RoomService;FoodCourt;ShoppingMall;Spa;VRDeck;TravelGroupType;Deck;Number;Side
1;False;0;39.0;False;0.0;0.0;0.0;0.0;0.0;0;2;0;False
0;False;0;24.0;False;109.0;9.0;25.0;549.0;44.0;0;6;0;True
1;False;0;58.0;True;43.0;3576.0;0.0;6715.0;49.0;2;1;0;True
1;False;0;33.0;False;0.0;1283.0;371.0;3329.0;193.0;2;1;0;True
0;False;0;16.0;False;303.0;70.0;151.0;565.0;2.0;0;6;1;True
0;False;1;44.0;False;0.0;483.0;0.0;291.0;0.0;0;6;0;False
0;False;0;26.0;False;42.0;1539.0;3.0;0.0;0.0;2;6;2;True
0;True;0;28.0;False;0.0;0.0;0.0;0.0;0.0;2;7;0;True
0;False;0;35.0;False;0.0;785.0;17.0;216.0;0.0;0;6;3;True
1;True;2;14.0;False;0.0;0.0;0.0;0.0;0.0;2;2;1;False
1;True;0;34.0;False;0.0;0.0;0.0;0.0;0.0;2;2;1;False
1;False;2;45.0;False;39.0;7295.0;589.0;110.0;124.0;2;2;1;False
2;False;0;32.0;False;73.0;0.0;1123.0;0.0;113.0;0;6;1;False
0;False;0;48.0;False;719.0;1.0;65.0;0.0;24.0;0;7;1;True
0;False;0;28.0;False;8.0;974.0;12.0;2.0;7.0;0;6;2;False
2;False;2;27.0;False;1286.0;122.0;0.0;0.0;0.0;0;6;3;False
0;False;2;24.0;False;0.0;1.0;0.0;0.0;637.0;0;6;4;False
2;True;0;45.0;False;0.0;0.0;0.0;0.0;0.0;0;6;5;False
0;False;0;0.0;False;0.0;0.0;0.0;0.0;0.0;2;7;0;False
0;False;2;14.0;False;412.0;0.0;1.0;0.0;679.0;2;6;6;False
0;True;0;1.0;False;0.0;0.0;0.0;0.0;0.0;2;5;0;True
0;True;2;49.0;False;0.0;0.0;0.0;0.0;0.0;2;5;0;True
0;True;2;29.0;False;0.0;0.0;0.0;0.0;0.0;2;5;0;True
0;False;0;10.0;False;0.0;0.0;0.0;0.0;0.0;1;5;0;True
0;True;1;1.0;False;0.0;0.0;0.0;0.0;0.0;2;5;0;True
0;False;0;7.0;False;0.0;0.0;0.0;0.0;0.0;2;5;0;True
2;False;0;21.0;False;980.0;2.0;69.0;0.0;0.0;0;4;0;False
1;True;0;62.0;False;0.0;0.0;0.0;0.0;0.0;0;3;2;True
0;False;0;15.0;False;0.0;225.0;0.0;998.0;0.0;0;6;6;True
1;False;2;34.0;False;22.0;6073.0;0.0;1438.0;328.0;0;3;0;False
2;False;0;43.0;False;1125.0;0.0;136.0;48.0;0.0;0;6;8;False
0;False;0;32.0;False;0.0;850.0;81.0;437.0;453.0;0;7;4;True
2;False;0;47.0;False;214.0;0.0;1411.0;0.0;1229.0;2;6;9;False
2;False;0;2.0;False;0.0;0.0;0.0;0.0;0.0;2;6;9;False
2;False;0;20.0;False;0.0;0.0;1750.0;990.0;0.0;2;6;9;False
1;True;2;28.0;False;0.0;0.0;0.0;0.0;0.0;0;4;1;True
2;False;2;23.0;False;784.0;964.0;0.0;951.0;0.0;0;4;1;False
0;False;2;15.0;False;0.0;492.0;48.0;20.0;401.0;0;6;8;True
0;False;2;20.0;False;554.0;195.0;0.0;2606.0;0.0;0;6;10;True
